datetime,temp,tempmax,tempmin,precip,humidity
2023-01-01,13.4,19.2,9.0,0.0,79.7
2023-01-02,12.3,17.0,9.0,0.0,88.1
2023-01-03,11.2,14.7,9.0,0.0,85.4
2023-01-04,9.7,13.8,7.0,0.0,90.1
2023-01-05,8.8,13.0,5.8,0.0,91.1
2023-01-06,9.0,14.0,7.0,0.0,88.0
2023-01-07,8.1,14.0,4.8,0.0,89.7
2023-01-08,9.0,15.0,4.0,0.0,91.1
2023-01-09,11.0,16.4,7.0,0.0,92.2
2023-01-10,11.1,17.0,7.0,0.0,88.5
2023-01-11,12.0,19.9,8.0,0.0,87.6
2023-01-12,14.5,21.0,10.0,25.177,86.6
2023-01-13,15.0,20.4,12.0,0.0,90.9
2023-01-14,12.8,17.1,10.0,0.0,82.0
2023-01-15,10.5,16.0,5.0,0.0,58.5
2023-01-16,10.8,17.0,5.0,0.0,59.1
2023-01-17,10.7,18.0,4.4,0.0,58.0
2023-01-18,11.1,18.0,6.0,0.0,58.0
2023-01-19,14.3,20.2,8.7,0.0,52.5
2023-01-20,16.2,22.1,11.0,0.0,60.8
2023-01-21,15.1,21.0,10.0,0.0,80.5
2023-01-22,15.6,22.6,10.0,0.0,71.6
2023-01-23,16.8,24.3,10.0,0.0,66.3
2023-01-24,17.2,20.3,15.0,0.0,80.3
2023-01-25,15.5,18.5,13.0,0.0,92.0
2023-01-26,14.1,16.0,11.8,0.0,94.1
2023-01-27,12.9,19.2,7.0,0.0,64.9
2023-01-28,13.6,21.8,5.0,0.0,67.6
2023-01-29,13.1,17.0,10.0,8.983,91.0
2023-01-30,14.5,18.2,12.0,15.491,92.7
2023-01-31,14.7,18.4,12.0,0.0,93.3
2023-02-01,14.1,20.0,10.0,0.0,82.1
2023-02-02,15.6,23.1,9.0,0.0,68.1
2023-02-03,16.1,23.0,9.0,0.0,68.7
2023-02-04,17.2,24.0,12.0,0.0,65.4
2023-02-05,17.6,25.0,12.0,0.0,66.2
2023-02-06,19.8,27.2,12.7,0.0,64.4
2023-02-07,18.3,24.3,13.0,0.0,69.5
2023-02-08,17.1,24.0,11.0,0.0,58.3
2023-02-09,19.5,28.0,12.0,0.0,59.0
2023-02-10,21.1,28.2,14.0,0.0,59.4
2023-02-11,20.2,26.2,16.0,0.0,74.5
2023-02-12,17.2,22.3,12.0,0.0,48.5
2023-02-13,15.3,22.0,9.0,0.0,41.6
2023-02-14,17.0,24.3,10.9,0.0,42.0
2023-02-15,18.4,27.0,11.0,0.0,52.0
2023-02-16,20.0,27.0,13.7,0.0,66.9
2023-02-17,21.3,28.0,16.0,0.0,71.6
2023-02-18,21.0,28.2,15.0,0.0,70.6
2023-02-19,21.9,29.6,15.0,0.0,67.7
2023-02-20,23.7,32.0,17.0,0.0,61.0
2023-02-21,22.8,29.3,17.0,0.0,66.7
2023-02-22,21.0,27.0,16.0,0.0,78.3
2023-02-23,20.9,28.2,15.0,0.0,60.8
2023-02-24,20.9,28.6,14.0,0.0,57.0
2023-02-25,22.0,29.2,15.0,0.0,59.3
2023-02-26,23.5,30.4,17.0,0.0,55.1
2023-02-27,23.5,30.8,17.7,0.0,56.0
2023-02-28,23.0,30.0,17.6,0.0,53.4
2023-03-01,23.4,29.0,19.0,0.298,45.8
2023-03-02,23.7,30.2,18.0,0.0,55.3
2023-03-03,23.6,31.0,17.0,0.0,58.8
2023-03-04,22.4,26.0,19.0,0.0,56.0
2023-03-05,23.5,30.0,18.0,0.0,53.6
2023-03-06,23.2,29.1,17.0,0.0,56.1
2023-03-07,23.6,30.0,17.8,0.0,49.0
2023-03-08,23.5,29.0,17.8,0.0,49.7
2023-03-09,24.2,29.4,19.9,0.0,48.4
2023-03-10,23.7,29.3,18.0,0.0,59.5
2023-03-11,24.5,31.5,18.0,0.0,52.8
2023-03-12,25.6,33.0,18.0,0.0,43.8
2023-03-13,26.0,33.0,20.0,0.0,47.8
2023-03-14,25.9,32.2,20.0,0.0,53.6
2023-03-15,26.4,33.4,19.9,0.0,48.7
2023-03-16,26.6,32.6,22.0,0.0,42.2
2023-03-17,24.3,29.0,20.4,0.0,47.1
2023-03-18,20.6,25.0,18.0,5.492,80.5
2023-03-19,20.6,26.0,17.0,22.625,84.5
2023-03-20,20.0,24.0,16.0,14.474,81.1
2023-03-21,19.9,24.3,16.0,0.0,80.7
2023-03-22,21.2,28.0,17.0,0.0,73.5
2023-03-23,23.4,29.2,17.0,0.0,60.6
2023-03-24,22.2,28.0,19.0,12.983,70.0
2023-03-25,22.8,28.0,17.0,0.0,68.9
2023-03-26,24.3,29.7,19.0,0.0,49.2
2023-03-27,23.0,27.6,18.0,0.0,58.1
2023-03-28,24.3,30.0,18.0,0.0,50.2
2023-03-29,25.1,32.0,19.7,2.587,50.0
2023-03-30,23.7,31.7,18.0,13.017,61.6
2023-03-31,20.7,25.7,17.8,3.158,80.8
2023-04-01,21.0,28.0,17.0,3.746,79.2
2023-04-02,23.5,29.1,17.7,0.0,66.3
2023-04-03,24.8,30.6,19.7,0.0,58.1
2023-04-04,24.7,30.0,19.7,4.069,55.3
2023-04-05,25.3,32.0,19.0,0.0,44.3
2023-04-06,26.1,32.1,19.8,0.0,34.6
2023-04-07,26.3,32.6,20.4,0.0,31.4
2023-04-08,26.6,33.0,19.0,0.0,27.2
