name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gurugram, Haryana, India",2023-01-01,19.2,9,13.4,19.2,8.5,13.3,9.6,79.7,0,0,0,,0,0,16.2,9.4,267.9,1020.7,25.8,1.8,165,14.2,6,10,2023-01-01T07:14:13,2023-01-01T17:36:05,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-02,17,9,12.3,17,8.5,12.3,10.3,88.1,0,0,0,,0,0,16.6,9.4,148.5,1021.5,20.9,0.9,160.5,13.9,6,10,2023-01-02T07:14:28,2023-01-02T17:36:47,0.34,Partially cloudy,Partly cloudy throughout the day.,fog,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-03,14.7,9,11.2,14.7,8.5,11.1,8.7,85.4,0,0,0,,0,0,17.6,9.4,288.6,1022.3,24.2,0.8,160.4,13.9,6,10,2023-01-03T07:14:42,2023-01-03T17:37:29,0.37,Partially cloudy,Partly cloudy throughout the day.,fog,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-04,13.8,7,9.7,13.8,4.8,9,8,90.1,0,0,0,,0,0,20.9,11.2,286.4,1022.6,12.9,1,171.5,14.8,7,10,2023-01-04T07:14:54,2023-01-04T17:38:12,0.41,Clear,Clear conditions throughout the day.,fog,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-05,13,5.8,8.8,13,4.4,8.5,7.4,91.1,0,0,0,,0,0,18,7.6,274.2,1023.8,35,3.6,135.6,11.7,6,10,2023-01-05T07:15:05,2023-01-05T17:38:56,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999,remote"
"Gurugram, Haryana, India",2023-01-06,14,7,9,14,6.2,8.9,6.9,88,0,0,0,,0,0,15.8,11.2,273.2,1024.3,28.5,0.7,131.5,11.5,6,10,2023-01-06T07:15:14,2023-01-06T17:39:41,0.48,Partially cloudy,Partly cloudy throughout the day.,fog,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-07,14,4.8,8.1,14,2.4,7.5,6.4,89.7,0,0,0,,0,0,22,11.2,264.9,1022.1,39.1,0.8,150,12.9,7,10,2023-01-07T07:15:22,2023-01-07T17:40:26,0.5,Partially cloudy,Clearing in the afternoon.,fog,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-08,15,4,9,15,2.8,8.4,7.5,91.1,0,0,0,,0,0,23.8,9.4,261.2,1019.7,42.1,2.6,171.9,14.8,7,10,2023-01-08T07:15:28,2023-01-08T17:41:12,0.54,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999,remote"
"Gurugram, Haryana, India",2023-01-09,16.4,7,11,16.4,6.8,11,9.7,92.2,0,0,0,,0,0,18.7,7.6,307.1,1020.3,59.1,0.4,151.8,13,6,10,2023-01-09T07:15:32,2023-01-09T17:41:58,0.58,Partially cloudy,Partly cloudy throughout the day.,fog,"42182099999,42176099999,VIDP,42181099999,VIDD"
"Gurugram, Haryana, India",2023-01-10,17,7,11.1,17,5.6,10.8,9.1,88.5,0,0,0,,0,0,23.8,11.2,272.4,1019.3,50.1,0.5,172.4,14.8,7,10,2023-01-10T07:15:35,2023-01-10T17:42:45,0.61,Partially cloudy,Partly cloudy throughout the day.,fog,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-11,19.9,8,12,19.9,7.4,11.8,9.7,87.6,0,0,0,,0,0,21.2,18.4,87.8,1014.8,59.6,0.6,142.1,12.2,6,10,2023-01-11T07:15:36,2023-01-11T17:43:33,0.64,Partially cloudy,Partly cloudy throughout the day.,fog,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-12,21,10,14.5,21,10,14.5,11.9,86.6,25.177,100,4.17,rain,0,0,32.4,14.8,99,1012.2,50.3,1,122.8,10.7,5,10,2023-01-12T07:15:36,2023-01-12T17:44:21,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-13,20.4,12,15,20.4,12,15,13.4,90.9,0,0,0,,0,0,25.2,13.6,101.4,1013.4,52.8,0.8,117,10.1,5,10,2023-01-13T07:15:34,2023-01-13T17:45:09,0.71,Partially cloudy,Partly cloudy throughout the day.,fog,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-14,17.1,10,12.8,17.1,10,12.8,9.5,82,0,0,0,,0,0,32.4,18.4,275.7,1016.7,31.6,1.2,178.6,15.4,7,10,2023-01-14T07:15:31,2023-01-14T17:45:58,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-15,16,5,10.5,16,3.3,9.8,1.3,58.5,0,0,0,,0,0,32,19,269.9,1015.7,3.9,2.4,183,15.8,7,10,2023-01-15T07:15:26,2023-01-15T17:46:47,0.75,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-16,17,5,10.8,17,3.3,10.6,2.3,59.1,0,0,0,,0,0,24.5,13,290,1016.8,0,1.6,185.7,16.1,7,10,2023-01-16T07:15:19,2023-01-16T17:47:36,0.81,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-17,18,4.4,10.7,18,2.4,10.3,1.1,58,0,0,0,,0,0,26.6,14.8,288.8,1017.6,0,4.7,187.2,16.2,7,10,2023-01-17T07:15:10,2023-01-17T17:48:26,0.85,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999,remote"
"Gurugram, Haryana, India",2023-01-18,18,6,11.1,18,6,11.1,2,58,0,0,0,,0,0,22.7,11.2,287.8,1019.4,5.3,1.9,185.4,15.9,7,10,2023-01-18T07:15:00,2023-01-18T17:49:16,0.88,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-19,20.2,8.7,14.3,20.2,8.7,14.3,3.8,52.5,0,0,0,,0,0,20.9,7.6,273.5,1019.2,51,1.6,161.3,14,7,10,2023-01-19T07:14:49,2023-01-19T17:50:05,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-20,22.1,11,16.2,22.1,11,16.2,8,60.8,0,0,0,,0,0,24.1,13,351.8,1017.4,52.6,2.4,170.3,14.7,7,10,2023-01-20T07:14:36,2023-01-20T17:50:55,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-21,21,10,15.1,21,10,15.1,11.4,80.5,0,0,0,,0,0,16.6,7.6,270.8,1016.9,5.9,1.5,182.8,15.9,7,10,2023-01-21T07:14:21,2023-01-21T17:51:46,0.98,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999"
"Gurugram, Haryana, India",2023-01-22,22.6,10,15.6,22.6,10,15.6,9.4,71.6,0,0,0,,0,0,20.9,9.4,65.9,1016.1,18.3,1.2,152.6,13.1,6,10,2023-01-22T07:14:05,2023-01-22T17:52:36,0,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42181099999"
